// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

// Conquest Battleground
2154,G_SHECIL__,Sniper Shecil,Sniper Cecil,99,209000,0,18000,10000,14,1892,5113,22,35,1,180,39,67,193,130,10,12,1,7,84,0x37B5,100,76,384,288,0,0,0,0,0,0,0,1228,350,1236,350,617,900,1234,150,1237,350,1720,150,1724,250,0,0,0,0,0,0
2155,G_KATRINN__,High Wizard Katrinn,High Wizard Kathryne,99,189920,0,18000,10000,1,497,2094,10,88,1,89,42,223,128,93,10,12,1,7,68,0x37B5,150,1152,384,288,0,0,0,0,0,0,0,1241,350,1242,350,2616,900,2343,250,2513,250,1618,300,2319,350,1637,100,0,0,0,0



//ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
2160,EREND__,Zumm,Zumm,40,10000,0,10000,10000,5,100,200,10,30,1,31,41,93,67,30,20,20,1,7,40,0x3695,130,1000,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,YGNIZEM__,Honey,Honey,40,20000,0,10000,10000,1,400,500,30,10,60,35,52,18,79,20,20,20,1,7,43,0x3695,140,1500,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2162,WHIKEBAIN__,Nenya,Nenya,40,15000,0,10000,10000,1,150,200,5,5,1,102,34,20,83,30,20,20,1,7,65,0x3695,120,800,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2163,RAWREL__,Secure,Secure,40,10000,0,10000,10000,5,100,200,5,45,1,41,5,120,45,10,20,20,1,7,48,0x3695,150,1000,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2164,ZummC__,Zumm,Zumm,60,15000,0,10000,10000,5,100,200,70,70,1,31,41,93,67,30,20,1000,1,7,40,0x3695,130,1000,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,HoneyC__,Honey,Honey,60,25000,0,10000,10000,1,400,500,70,70,60,35,52,18,79,20,20,1000,1,7,43,0x3695,140,1500,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,NenyaC__,Nenya,Nenya,60,20000,0,10000,10000,1,150,200,50,30,1,150,34,20,83,30,20,1000,1,7,65,0x3695,120,800,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2167,SecureC__,Secure,Secure,60,15000,0,10000,10000,5,100,200,70,70,1,41,5,120,45,10,20,1000,1,7,48,0x3695,150,1000,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,LevonC__,Levon,Levon,60,20000,0,10000,10000,9,400,600,50,30,48,200,10,15,118,40,20,1000,1,7,44,0x3695,150,600,432,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
